03289462	05603650 14366759 04408330 03926575 14089719 14397040 01531375 03925226 00240293 14315192 00434077 14367797
08615638	01934427 01493380 00233335 02685390 08674970 02228031
01018630	01017987 01734502 01019129 01020117 01249060 00958334 01964367
07552252	07552087 00026192
02214972	02215334 02215941 02205896 01759182 02215161
05486920	05489640 05486510 05489394 05494617 05221895
02513269	02036578 10777894 01129977 00360650 01548193
07377682	07430211 00690058 02187510 02174662 01452593 01046587 01046059 00915605 07387509
01105097	01105639 00094460
07203696	00075135 06732350 07203126 07199565
03608661	02719294 06845599 01059400 00084738 14598525 00378985
02224055	02073545 02247584 08058098 01327301 13232515 00391599 07945657 02222318 03214670 15098161 14427633 00462894 00680841 02223479 02222994 01314388 01513430
08042536	08780881 08392137 00656576 10702781 00759694 09044862 08364143 06218308 00042457
05516848	06057539 05392562 02051845 01874434 05517406 05392348 02353861 05515670 05225602
08706247	08705397 08633957 02361600 00444519 08540903 08524735
00163441	10780632 00265119 01755816 01631072 07648549 10150940 14424517 00164201
03767459	01695459 03257586 02260362 06851742 01695257 11156943
01907258	00161225 02169891 02155248 01008288 00350030 01831531 08679972 01909812 02034300 02033137 06208021 00897564 09618957 02049190 02089984 07351612
09103648	09102883 09103377 08675967 06337693
14494716	00254415 00024720 00426608 01532434 14497763 13920835 14494893 14495589
13329641	00032613 13333237 13250930 06150633 08058098 13413493 13354420 08142370 08054721 02314275 00731000 05217688 02685951 00372226 10086074 14580897 13356112 13344071 00082870 00228535 13331198 13285176 09838370 00153061 10265532 00269423 08071516 06295235 13333047 02392654
12624873	12619306 12625003 11585340
14822141	03646296 09777353 04559023 11190183 03284482 00363052 00369864 04451818 07935504 00370412 02531422 03273913 14940386 04041069 14778436 07030718 13453160 08435388 05725527
02431122	02430045 09275473 02431337 09207288 02430929 00492677
00729642	00726300 03838298 07545415
00157081	00042311 00701040 00621627 00157957 01710317 00158996 00159620
00847770	00847340 11190183 00492677
02339413	02226013 02340360 02225911 00309647 01878466 03051540 03859958 02354536 02331326 02340543 02329883 01241379 02730568 02327200 00505802 03730153 03619396 01137829 02336483 02336684 02362601 00406243 02226172 05982152 00406963 02341684 00408085 07555863 02340736 02479323 10387712
12410381	11667562 12418680 12411084 12039524 08103777 12423565 11561228 12410715 12039743 13744304 12467811 11556187
00602255	08108784 13434878 05757049 10251779 00602112 00597915
06855207	00938791 01531265 05765415 06806469 01273016 00340704 07998573 01103159
00283127	01835496 00285557 00293916 00283568 09604981 00279835 07046339 02994448
14685017	14875077 14951377 01653442 14877585 15006258 14960090
15170786	15169873 15136147 13384877 09732544 01974062 15171008 08860123 05551318
09145655	08524735 08540903 09141526 00825089
04625515	14204950 06060845 05217688 14061805 04625284 01890792
01809980	01809321 07500741 03009633
14047740	14046202 14047547 14047440 14047641 05772215 05519085
02428653	08110373 01409581 01382086 02400139 09163192 01864707
01804340	07965937 01806567 01802309 01804478 01507175
01826723	04848262 13360498 10185148 00205885 04945057 00902932 05983654 01974062 02518161 00592702 05950733 01811441
01855672	01857325 01856553 02252634 01845477 01845627
09861287	00007846 10622053 02855925 05217688 10546633
13252973	13253255 13262335 00809465 13327676 13240514 00032613
04795545	04794751 04796086 01066542 07294019 00485711 13954253
15267945	15113229 08800258 01008947 15168790
08610305	09108164 09159003 09081213 08600992 06700169 00958880 08683548 05221895 09044862 09482131 09118505 02072394 02361600
12699922	12695144 08747054 12699778 01145163
07230502	00652346 00164152 07030718 01028748 01024190 06867675 00947439 07231048 00024720 05667613 06531481
06737112	01755816 01915131 00888786 05121418 09875353 06737394 02300060 00490569 06722453 02564986
12911673	12910285 04965661 00285088 06426468 07705931 09722658 09372504
07521674	05951566 07510923 07537259 07522128 01782432 13777764 07197021 07519253 05951323 10665698 07533257 01780202
00753472	00634472 00820976 00750890 04880573 00172710 00155298 00932798
01384752	13580415 01330822 15258694 00702226 00106456 08278169 13384877 02304982
08984010	08982587 08524735 08540903
00981814	00983824 00941990 00952182
01609953	01609287 02054382 00868196 01424948 01448100 10943256 09918248
01395617	01407465 03592245 07209305 00178575 00796315 00213343 02318464 01162376 04809784 01195380 00772813
05656997	05616246 11484975 13983147
02244007	02244670 02244396 02244173 01759182 02241184 09813696
07402519	02737183 01448100 01970348 02417908 07404798 07404114 15236859 07296190 01661804 07401960
09154178	09152944 08638442 08540903 08563180 09154731 11150634 11508382 02521816 11376069 02071316 09313241 03082979 02515341 09050730 08682819 01649251 09403734 08524735 08502171 09405169 02994858 09400667 08622950 09904556 04511002
08841667	08836329 05950234 08835875 12363580 12081851 09079153 11770013 08991182 13177884 12063887 09203827 12356668 13176523 11755694 13236726 07030718 13191318 06937531 12475774 07886317 08989697 09727826
03204955	03207305 02715229 02584915 01141612 09365863
03236735	10787470 03450230 04596852 00048912 03419014 04238321 02052090 03815278 07654667
10613996	10787470 02115430 00166146
08472120	08723006 08464601 09848285 15205532 07046339 15257829
02622969	02869249 05198132 02622234 14420240
13745270	02454794 13597585 07261300 15255804 11292391 00471613 09394007 03119790 13745086 13741022 01705494 01411870 01043189 00506207
01400891	01399772 01401106 10294139
10860999	02846141 09044862 10450303 10303814 10451263 06700169 09063673
10152083	10338707 10480583 02484570 01136614 01134781 10231087
06955931	06956129 06904171 09728403 09006413 00656576 06926212
01414088	01238640 00571643 00134099 09906538 00445802 01397210
05519085	05518870 05519820 05303232 05514717 00073584 02668093 09305031 05513529 00185778 14713748 00677299 01461646 13496286 14559208 05081434 05297523 05521111 13911517 05247057 13513747 14046202 15288111 00670250 05520699 00334174 14746048 00669481 05355890 00370458 05411571 00677174 14047740 02860919 03582096 01459791 05266239
12380926	09738400 08108972 12377809 11575425
07745197	12655351 01409581 00320284 07742704 12653762
10017272	09875786 05217688 00543233 01033346
00657260	05838765 07939638 02228698 00673448 00599992 05732756 00654625 00632627 07997703
04311595	03316406 01806271 02831998 04305016
06410904	14588492 06394865 02116980 06345131 06598030 06416206 06412771 01123148 06413889 02710673 06149484 06589574
08956140	08633957 09481958 08540903 00825089 08955626 08524735
13625063	13624873 13779374 13659760 13810323 02672187 03264136 13779032 01256867 13616054
13366428	13365286 13255145 04263614 07075172
03051249	14592610 15098161 03323703 10080337
03797703	03504723 06988057 08793489 06738162 09904556 00193486
14427239	14425974 00024720 09827683 09918554 01322221
02581108	02580336 02580991 09209263 02577877 11376069
11400837	13991823 09807075 01783158 00723545 08982587 14459824
05251789	00130778 05250659 03003730 05318263 07250339 02336015
11169418	10467395 00597265 09791816
10741152	05217688
03894051	02515341 03003730
08978161	00825089 09382990 08544813 02994858 09044862 07990377 09376198
03770085	03769967 02958343 04347119 08860123 00416705
10509605	05217688 13955461 07965937 05151869 00007846
12178129	03331244 02500884 01567275 08563180 12177844 12178358 13454318
01382839	13744044 01352574 01382273 01022064 13744521
15271008	15269513 15274441 02641035 00779061 02535716 15274074 07362075 15271619 00363493
04451818	03563967 04387706 03997484 04184435 03265032 02763714 03154073 02848216 02830157 01257173 03524574 05667196 13893786 03594277 03588951 03239726 03646296 03154446 02072673 01158872 04270891 01658762 02668393 04050410 14822141 04050066 03501614 03967562 03929202 03075097 03454211 01556572 03489162 03455355 00577068 10563826 04023249 03474896 03027250
12610328	13121544 12610186 00443231 09044862 01382086 02855925
00788097	00786195 00375071 02241107 00082241 02635420 00158185 02504562 01181559 02135389
12537437	12537569 11585340 12501745 08110373
00594580	10259348 00586262 08621598 10259527 10005280
14481080	14479615 04935003 04944048 05616246 05725378 07172756 05195362 03094503 00442267 02623529 04941453 00365471 02262542 15046900 02060141 14940386
02241767	09858299 02241621 02238085 00766234
01201422	10182913 00856847
10291240	02142626 10787470 03211117 09815790 10676319
08083083	08082602 09017526 00727564 06827503 00411009 09696124
14042423	14796969 14058252 01569181 14041256 13920835 13809769 14993378 04082344 01476180 14648100 14034177 02336449 00359511 00839292
