03289462	0
08615638	1
01018630	2
07552252	3
02214972	4
05486920	5
02513269	6
07377682	7
01105097	8
07203696	9
03608661	10
02224055	11
08042536	12
05516848	13
08706247	14
00163441	15
03767459	16
01907258	17
09103648	18
14494716	19
13329641	20
12624873	21
14822141	22
02431122	23
00729642	24
00157081	25
00847770	26
02339413	27
12410381	28
00602255	29
06855207	30
00283127	31
14685017	32
15170786	33
09145655	34
04625515	35
01809980	36
14047740	37
02428653	38
01804340	39
01826723	40
01855672	41
09861287	42
13252973	43
04795545	44
15267945	45
08610305	46
12699922	47
07230502	48
06737112	49
12911673	50
07521674	51
00753472	52
01384752	53
08984010	54
00981814	55
01609953	56
01395617	57
05656997	58
02244007	59
07402519	60
09154178	61
08841667	62
03204955	63
03236735	64
10613996	65
08472120	66
02622969	67
13745270	68
01400891	69
10860999	70
10152083	71
06955931	72
01414088	73
05519085	74
12380926	75
07745197	76
10017272	77
00657260	78
04311595	79
06410904	80
08956140	81
13625063	82
13366428	83
03051249	84
03797703	85
14427239	86
02581108	87
11400837	88
05251789	89
11169418	90
10741152	91
03894051	92
08978161	93
03770085	94
10509605	95
12178129	96
01382839	97
15271008	98
04451818	99
12610328	100
00788097	101
12537437	102
00594580	103
14481080	104
02241767	105
01201422	106
10291240	107
08083083	108
14042423	109
01107439	110
02427958	111
00201671	112
01358904	113
00340662	114
00629911	115
03207305	116
12846335	117
08210411	118
02721538	119
02633677	120
01900488	121
09380117	122
01886756	123
00857784	124
05491993	125
00126264	126
13874558	127
02111626	128
10133644	129
06792645	130
11458314	131
03160309	132
09980090	133
10117267	134
09365128	135
12666369	136
08207095	137
02596888	138
01700655	139
08494459	140
02351518	141
02466670	142
14299336	143
09084483	144
05798043	145
12853706	146
08021129	147
05310351	148
12881631	149
01383646	150
00545501	151
01931714	152
10690849	153
07243193	154
04236377	155
11566682	156
09028477	157
03495258	158
08168531	159
11830714	160
06350918	161
01967634	162
05872982	163
09850121	164
03233423	165
01516064	166
05625879	167
04388743	168
01330497	169
15181718	170
04068601	171
09437098	172
00199659	173
09088989	174
04464852	175
03049066	176
02605316	177
10751265	178
03648066	179
00554541	180
03701391	181
10184822	182
14313440	183
01679433	184
00645241	185
02632239	186
